anomes;datetime;vento_u_superficie;precipitacao
202210;30/10/2022 18:00;4.108.045;0
202210;30/10/2022 21:00;-0.15196753;0
202210;31/10/2022 00:00;-0.875222;0
202210;31/10/2022 03:00;-0.4499942;0
202210;31/10/2022 06:00;-21.654.959;0
202210;31/10/2022 09:00;15.297.244;0
202210;31/10/2022 12:00;-16.999.347;0
202210;31/10/2022 15:00;-0.4477871;0
202210;31/10/2022 18:00;0.8846461;0
202210;31/10/2022 21:00;-18.834.267;0
202210;28/10/2022 09:00;15.811.127;0
202210;28/10/2022 12:00;-21.654.959;0
202210;28/10/2022 15:00;0.06861538;0
202210;28/10/2022 18:00;0.51925415;0
202210;28/10/2022 21:00;35.598.156;0
202210;29/10/2022 00:00;10.717.808;0
202210;29/10/2022 03:00;43.339.996;0
202210;29/10/2022 06:00;10.427.662;0
202210;29/10/2022 09:00;12.601.655;0
202210;29/10/2022 12:00;-1.400.072;0
202210;29/10/2022 15:00;-0.23275125;0
202210;29/10/2022 18:00;-10.590.656;0
202210;29/10/2022 21:00;34.143.717;0.00039083225
202210;30/10/2022 00:00;11.743.621;0
202210;30/10/2022 03:00;-0.7411359;0
202210;30/10/2022 06:00;18.517.264;0
202210;30/10/2022 09:00;-0.5778985;0.00025410933
202210;30/10/2022 12:00;0.12491592;0
202210;30/10/2022 15:00;-0.91212744;0.0026790856
202210;30/10/2022 18:00;-16.760.961;0
202210;30/10/2022 21:00;30.493.412;0
202210;31/10/2022 00:00;-0.76917386;0.00022481155
202210;31/10/2022 03:00;12.776.171;0.000053614916
202210;31/10/2022 06:00;-16.999.347;0
202210;31/10/2022 09:00;-19.236.426;0
202210;31/10/2022 12:00;-0.15110813;0
202210;31/10/2022 15:00;-12.802.246;0
202210;31/10/2022 18:00;0.7915378;0
202210;31/10/2022 21:00;-18.599.885;0
202210;28/10/2022 09:00;17.575.341;0
202210;28/10/2022 12:00;0.34159246;0.000053614916
202210;28/10/2022 15:00;-15.155.345;0
